QueryId,QueryString
q4_1,(attribute:\"productivity\" AND attribute:milligramPerMeterCubedPerDay) AND (abstract:phytoplankton OR title:phytoplankton) AND (abstract:carbon14)
q4_2,attribute:\"*production\" OR attribute:\"productivity\" AND (abstract:phytoplankton OR title:phytoplankton)
q5_1,(attribute:\"*carbonate\" or attribute:\"C02\" or attribute:\"carbon dioxide\") AND (abstract:ocean OR title:ocean) AND co2calc 
q9_1,attribute:\"net primary production\" AND (abstract:coastal macroalgae OR title:coastal macroalgae)
q10_1,(attribute:\"C02 flux\" or attribute:\"carbon dioxide flux\") AND (abstract:ocean OR title:ocean) AND co2calc
q1_1,attribute:\"net primary production\" AND (abstract:\"above ground\" OR title:\"above ground\")
q2_1,attribute:\"soil respiration\" AND (abstract:heterotrophic OR title:heterotrophic) AND (abstract:ecosystem OR title:ecosystem)
q3_1,(attribute:carbon AND attribute:*gram*) AND (abstract:microb* OR title:microb*) AND (abstract:soil OR title: soil)
q6_1,(attribute:\"C02 flux\" or attribute:\"carbon dioxide flux\") AND (abstract:soil OR title:soil)
q7_1,(attribute:\"C02 uptake\" or attribute:\"carbon dioxide uptake\") AND \"enrichment experiment\" AND (abstract:grassland OR title:grassland)
q8_1,(attribute:methane AND (attribute:*per*metersquare* OR attribute:persquare*meter) ) AND (abstract:soil OR title:soil)
